Polomer	h	k	B	Cp	b	z1	y1	z2	y2	x
0.01875	11.59970389	0.4764375003	1.001455368	0.08803012675	0.05513176956	9.176047037	16.15928519	-24.85800621	-27.2134624	18.75
0.025	8.758628889	0.470355857	0.9848561867	0.1140794543	0.07128522106	12.20977405	20.69409769	-32.72095075	-34.64858666	25
0.03125	7.05783689	0.4645299326	0.9683396332	0.1386231789	0.08637085428	15.20574054	24.82570769	-40.33341847	-41.32054153	31.25
0.0375	5.927173889	0.4589536265	0.9519250507	0.1617416598	0.1004192593	18.15036896	28.56959383	-47.67596268	-47.26523791	37.5
0.04375	5.122282889	0.4536205416	0.9356310825	0.1835121995	0.1134633686	21.03127302	31.94225618	-54.73189015	-52.52003788	43.75
0.05	4.520980889	0.44852405	0.9194755655	0.2040090199	0.125538131	23.83731893	34.96102334	-61.48729455	-57.12335466	50
0.05625	4.055385889	0.443656746	0.9034751062	0.2233032528	0.1366802559	26.55869107	37.64387112	-67.93110377	-61.11427302	56.25
0.0625	3.684763889	0.4390118751	0.8876457472	0.2414629449	0.1469277061	29.18684953	40.00920108	-74.05490017	-64.5321397	62.5
0.06875	3.383190889	0.4345823788	0.8720023448	0.2585530764	0.1563194744	31.71456293	42.07567463	-79.85291128	-67.41622813	68.75
0.075	3.133383889	0.4303598167	0.856557929	0.274635593	0.1648954443	34.13594957	43.86206474	-85.32202387	-69.80543347	75
0.08125	2.923372889	0.426337774	0.8413254475	0.2897694496	0.1726955686	36.44625621	45.38701193	-90.46124892	-71.73789808	81.25
0.0875	2.744607889	0.4225085991	0.826315989	0.3040106662	0.1797600665	38.64197374	46.66895247	-95.27191364	-73.25082184	87.5
0.09375	2.590818889	0.4188634577	0.8115388182	0.3174123922	0.1861291866	40.72078166	47.72598553	-99.75749558	-74.38022947	93.75
0.1	2.457298889	0.4153967658	0.7970036248	0.3300249815	0.191842193	42.68119613	48.57564957	-103.9228437	-75.16069317	100
0.10625	2.340450889	0.4120996518	0.7827171898	0.3418960734	0.1969382759	44.5228885	49.23498249	-107.7748207	-75.62530861	106.25
0.1125	2.237474889	0.4089650923	0.7686860177	0.3530706815	0.2014554687	46.24627811	49.72031623	-111.3214252	-75.80547696	112.5
0.11875	2.146158889	0.4059873739	0.7549160526	0.3635912865	0.2054305532	47.85246511	50.04722767	-114.5716403	-75.73083952	118.75
0.125	2.064735889	0.403157111	0.7414102968	0.3734979334	0.2088998639	49.34347927	50.23060549	-117.535944	-75.42929749	125
0.13125	1.991771889	0.4004695489	0.7281728917	0.3828283321	0.2118976115	50.72162611	50.28442546	-120.2249458	-74.92686514	131.25
0.1375	1.926095889	0.3979166069	0.7152053265	0.3916179588	0.2144573034	51.98994475	50.22191235	-122.6503436	-74.24778145	137.5
0.14375	1.866738889	0.3954928138	0.7025093319	0.3999001589	0.2166105422	53.15171468	50.05539921	-124.8239075	-73.41445509	143.75
0.15	1.812894889	0.393190406	0.6900846419	0.4077062497	0.2183879315	54.21072262	49.79643628	-126.7580443	-72.44755752	150
0.15625	1.763883889	0.3910072051	0.6779326625	0.4150656223	0.2198175061	55.17063044	49.45564107	-128.4645087	-71.36601126	156.25
0.1625	1.719134889	0.3889333025	0.6660504864	0.4220058423	0.2209273409	56.03586036	49.042987	-129.9562426	-70.18715856	162.5
0.16875	1.678158889	0.3869642914	0.6544369676	0.4285527479	0.2217429543	56.81059069	48.56756171	-131.245326	-68.92673591	168.75
0.175	1.640536889	0.3850961762	0.6430904371	0.4347305458	0.2222883271	57.49906618	48.03770409	-132.3436383	-67.59900251	175
0.18125	1.605909889	0.3833207364	0.6320067912	0.4405619045	0.2225868444	58.1058838	47.46111862	-133.2634607	-66.21683557	181.25
0.1875	1.573963889	0.3816371922	0.6211845671	0.4460680439	0.2226590384	58.63511755	46.84470542	-134.0157089	-64.79178686	187.5
0.19375	1.544427889	0.3800396357	0.6106196001	0.4512688218	0.2225251066	59.09118341	46.19482112	-134.611721	-63.33420658	193.75
0.2	1.517064889	0.3785226301	0.6003075128	0.4561828163	0.222203857	59.4784077	45.51721616	-135.0623946	-61.85331197	200
0.20625	1.491666889	0.3770808524	0.5902436162	0.4608274054	0.2217128305	59.8010274	44.81708048	-135.3782082	-60.35727562	206.25
0.2125	1.468048889	0.3757142172	0.5804249913	0.4652188415	0.2210673747	60.06281302	44.09900882	-135.568476	-58.85332429	212.5
0.21875	1.446049889	0.3744151586	0.5708454231	0.4693723235	0.2202831546	60.26794295	43.36722869	-135.6431395	-57.34779501	218.75
0.225	1.425524889	0.3731829826	0.5615011875	0.4733020642	0.2193734517	60.41998853	42.62542564	-135.6107275	-55.84624388	225
0.23125	1.406346889	0.3720104409	0.5523858017	0.477021354	0.2183517862	60.52283455	41.87696902	-135.4802361	-54.35347745	231.25
0.2375	1.388399889	0.3708994617	0.543496141	0.4805426217	0.2172290016	60.57959447	41.12473388	-135.2589519	-52.87368581	237.5
0.24375	1.371582889	0.3698420128	0.5348251532	0.4838774909	0.2160169211	60.59390961	40.37138393	-134.9550895	-51.410418	243.75
0.25	1.355802889	0.3688388964	0.5263690103	0.4870368337	0.2147248885	60.56867431	39.61916131	-134.5752333	-49.96673648	250
0.25625	1.340977889	0.3678845603	0.5181214439	0.4900308205	0.2133626449	60.50705651	38.87010372	-134.1264068	-48.54518794	256.25
0.2625	1.327032889	0.3669777493	0.5100777162	0.4928689673	0.2119384156	60.41178812	38.12594231	-133.6146553	-47.14791811	262.5
0.26875	1.313899889	0.3661183061	0.5022334177	0.4955601793	0.210459564	60.28538594	37.38816789	-133.0455024	-45.77670253	268.75
0.275	1.301518889	0.3652990903	0.4945816676	0.4981127922	0.2089340722	60.13067077	36.65813687	-132.4250005	-44.43292304	275
0.28125	1.289833889	0.3645199965	0.4871180832	0.5005346109	0.2073680798	59.94986796	35.93694277	-131.7579346	-43.11771515	281.25
0.2875	1.278793889	0.3637814967	0.4798384576	0.5028329449	0.2057671009	59.74503613	35.22550841	-131.0486922	-41.83195758	287.5
0.29375	1.268353889	0.3630768545	0.4727361755	0.505014642	0.2041374022	59.51855174	34.52467516	-130.3022395	-40.57623163	293.75
0.3	1.258470889	0.3624092837	0.465808016	0.5070861195	0.2024830707	59.27204811	33.83505597	-129.5220052	-39.35100395	300
0.30625	1.249106889	0.3617752028	0.4590485243	0.5090533934	0.2008089424	59.00745953	33.1572081	-128.7119754	-38.15650097	306.25
0.3125	1.240226889	0.3611721352	0.4524526934	0.5109221051	0.1991192651	58.72653473	32.49157094	-127.8757255	-36.99280283	312.5
0.31875	1.231798889	0.3605970348	0.4460154202	0.512697547	0.1974180134	58.43094439	31.83849307	-127.01664	-35.85984848	318.75
