Uhel	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-15.0	-0.227	0.12829	-0.103	1.000	0.001	1.000	0.002	-1.767	0.459	-0.202
-14.5	-0.213	0.12057	-0.105	1.000	0.001	1.000	0.002	-1.764	0.442	-0.246
-14.0	-0.196	0.11458	-0.108	1.000	0.001	1.000	0.002	-1.712	0.416	-0.303
-13.5	-0.177	0.11330	-0.111	1.000	0.001	1.000	0.002	-1.564	0.393	-0.378
-13.0	-0.155	0.10205	-0.114	1.000	0.001	1.000	0.002	-1.519	0.377	-0.487
-12.5	-0.131	0.09784	-0.117	1.000	0.001	1.000	0.002	-1.335	0.366	-0.648
-12.0	-0.104	0.08874	-0.120	1.000	0.001	1.000	0.002	-1.170	0.356	-0.909
-11.5	-0.074	0.08272	-0.123	0.861	0.001	1.000	0.002	-0.898	0.348	-1.409
-11.0	-0.043	0.07366	-0.126	0.822	0.001	1.000	0.002	-0.581	0.342	-2.697
-10.5	-0.009	0.06872	-0.129	0.790	0.001	1.000	0.002	-0.132	0.234	-13.976
-10.0	-0.412	0.06409	-0.132	0.770	0.001	1.000	0.002	-6.422	0.232	-0.071
-9.5	-0.352	0.05818	-0.135	0.753	0.001	1.000	0.001	-6.059	0.300	-0.134
-9.0	-0.291	0.05356	-0.138	0.737	0.001	1.000	0.001	-5.431	0.299	-0.226
-8.5	-0.227	0.04941	-0.141	0.723	0.001	1.000	0.001	-4.602	0.297	-0.372
-8.0	-0.162	0.04606	-0.144	0.710	0.001	1.000	0.002	-3.528	0.297	-0.639
-7.5	-0.097	0.04224	-0.147	0.699	0.001	1.000	0.002	-2.289	0.296	-1.275
-7.0	-0.030	0.03939	-0.151	0.688	0.001	1.000	0.002	-0.773	0.296	-4.692
-6.5	0.036	0.03687	-0.154	0.679	0.001	1.000	0.004	0.970	0.419	4.542
-6.0	0.094	0.03472	-0.172	0.670	0.002	1.000	0.837	2.698	0.454	2.081
