Uhel	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-15.0	-0.288	0.10739	-0.091	1.000	0.029	1.000	0.034	-2.678	0.340	-0.067
-14.5	-0.251	0.10458	-0.094	1.000	0.029	1.000	0.035	-2.404	0.339	-0.125
-14.0	-0.214	0.09797	-0.098	1.000	0.029	1.000	0.035	-2.189	0.338	-0.205
-13.5	-0.177	0.09058	-0.101	1.000	0.031	1.000	0.035	-1.950	0.337	-0.322
-13.0	-0.138	0.08600	-0.104	0.903	0.031	1.000	0.036	-1.607	0.336	-0.505
-12.5	-0.099	0.08418	-0.108	0.898	0.030	1.000	0.036	-1.178	0.335	-0.836
-12.0	-0.059	0.08065	-0.111	0.887	0.030	1.000	0.037	-0.738	0.335	-1.617
-11.5	-0.019	0.07728	-0.114	0.882	0.031	1.000	0.036	-0.250	0.237	-5.683
-11.0	-0.578	0.07521	-0.118	0.877	0.031	1.000	0.038	-7.682	0.236	0.046
-10.5	-0.505	0.07008	-0.121	0.871	0.031	1.000	0.039	-7.207	0.298	0.010
-10.0	-0.433	0.06620	-0.125	0.866	0.031	1.000	0.038	-6.539	0.298	-0.038
-9.5	-0.361	0.06298	-0.128	0.861	0.033	1.000	0.040	-5.729	0.298	-0.105
-9.0	-0.289	0.06070	-0.132	0.855	0.031	1.000	0.042	-4.765	0.299	-0.205
-8.5	-0.218	0.05540	-0.135	0.849	0.034	1.000	0.043	-3.940	0.300	-0.369
-8.0	-0.148	0.05307	-0.139	0.845	0.034	1.000	0.043	-2.786	0.301	-0.689
-7.5	-0.078	0.05109	-0.142	0.842	0.033	1.000	0.043	-1.528	0.301	-1.574
-7.0	-0.009	0.04736	-0.146	0.838	0.033	1.000	0.045	-0.188	0.302	-16.118
-6.5	0.059	0.04565	-0.149	0.830	0.034	1.000	0.046	1.303	0.303	2.764
-6.0	0.127	0.04286	-0.153	0.827	0.035	1.000	0.047	2.964	0.304	1.455
-5.5	0.194	0.04070	-0.157	0.823	0.035	1.000	0.049	4.762	0.305	1.059
-5.0	0.260	0.03822	-0.160	0.819	0.036	1.000	0.051	6.794	0.305	0.868
-4.5	0.324	0.03642	-0.164	0.815	0.037	1.000	0.063	8.907	0.305	0.755
-4.0	0.388	0.03355	-0.167	0.812	0.040	1.000	0.077	11.568	0.305	0.681
-3.5	0.450	0.03007	-0.171	0.804	0.041	1.000	0.121	14.964	0.308	0.629
-3.0	0.512	0.03163	-0.175	0.545	0.043	1.000	0.127	16.190	0.311	0.591
-2.5	0.573	0.03014	-0.178	0.487	0.046	1.000	0.142	19.010	0.313	0.561
-2.0	0.633	0.02880	-0.182	0.467	0.049	1.000	0.152	21.979	0.315	0.538
-1.5	0.692	0.02693	-0.186	0.456	0.067	1.000	0.149	25.710	0.316	0.519
-1.0	0.750	0.02613	-0.190	0.444	0.077	1.000	0.152	28.726	0.318	0.503
-0.5	0.808	0.02621	-0.194	0.429	0.105	1.000	0.133	30.812	0.319	0.490
0.0	0.864	0.01785	-0.198	0.421	0.108	1.000	0.136	48.392	0.296	0.479
0.5	0.925	0.01793	-0.199	0.409	0.111	1.000	0.139	51.615	0.274	0.465
1.0	0.987	0.01877	-0.201	0.398	0.111	1.000	0.139	52.600	0.275	0.453
1.5	1.049	0.01913	-0.202	0.382	0.114	1.000	0.152	54.816	0.275	0.443
2.0	1.110	0.02172	-0.204	0.366	0.118	1.000	0.970	51.131	0.275	0.434
2.5	1.172	0.02217	-0.205	0.350	0.121	1.000	0.970	52.843	0.275	0.425
3.0	1.233	0.01860	-0.207	0.338	0.121	1.000	0.971	66.300	0.275	0.418
3.5	1.294	0.01958	-0.208	0.326	0.124	1.000	0.972	66.092	0.275	0.411
4.0	1.355	0.01992	-0.210	0.310	0.130	1.000	0.973	68.024	0.276	0.405
4.5	1.415	0.02003	-0.212	0.298	0.136	1.000	0.974	70.663	0.276	0.399
5.0	1.476	0.02138	-0.213	0.278	0.142	1.000	0.975	69.039	0.276	0.394
5.5	1.536	0.02230	-0.215	0.266	0.155	1.000	0.975	68.887	0.276	0.390
6.0	1.596	0.02186	-0.216	0.258	0.925	1.000	0.955	73.017	0.276	0.385
6.5	1.655	0.02527	-0.218	0.145	0.928	1.000	0.955	65.510	0.276	0.382
7.0	1.714	0.02666	-0.219	0.137	0.931	1.000	0.955	64.296	0.277	0.378
7.5	1.773	0.02721	-0.221	0.134	0.934	1.000	0.956	65.142	0.277	0.375
8.0	1.831	0.02749	-0.222	0.130	0.938	1.000	0.956	66.594	0.277	0.372
8.5	1.889	0.03660	-0.224	0.130	0.945	1.000	0.952	51.602	0.277	0.369
9.0	1.946	0.03656	-0.226	0.127	0.950	1.000	0.952	53.224	-0.185	0.366
9.5	1.852	0.04100	-0.240	0.074	0.955	0.886	0.957	45.158	-0.066	0.380
10.0	1.887	0.04397	-0.244	0.069	0.950	0.868	0.952	42.910	0.374	0.380
10.5	1.920	0.04610	-0.249	0.069	0.950	0.850	0.953	41.654	0.395	0.380
11.0	1.949	0.04818	-0.253	0.066	0.951	0.829	0.953	40.458	0.455	0.380
11.5	1.971	0.05126	-0.259	0.060	0.956	0.803	0.958	38.443	0.535	0.381
12.0	1.990	0.05456	-0.265	0.060	0.951	0.772	0.953	36.478	0.764	0.383
12.5	1.997	0.05862	-0.273	0.058	0.951	0.729	0.953	34.066	1.809	0.386
13.0	2.000	0.06318	-0.280	0.058	0.951	0.683	0.953	31.652	-1.592	0.390
13.5	1.988	0.06931	-0.289	0.058	0.956	0.619	0.958	28.680	-2.104	0.396
14.0	1.993	0.07404	-0.296	0.058	0.956	0.576	0.958	26.918	0.810	0.399
14.5	2.010	0.07972	-0.302	0.055	0.956	0.548	0.958	25.219	0.881	0.400
15.0	2.013	0.08596	-0.309	0.055	0.956	0.504	0.958	23.412	3.396	0.403
