Úhel	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-15.0	-0.180	0.16355	-0.118	0.954	0.005	0.969	0.006	-1.099	0.393	-0.405
-14.5	-0.161	0.15364	-0.120	0.953	0.005	0.969	0.006	-1.050	0.385	-0.496
-14.0	-0.141	0.14604	-0.123	0.951	0.005	0.968	0.006	-0.963	0.373	-0.625
-13.5	-0.118	0.12610	-0.126	0.950	0.005	0.968	0.006	-0.934	0.362	-0.818
-13.0	-0.093	0.12466	-0.128	0.948	0.005	0.967	0.006	-0.744	0.354	-1.136
-12.5	-0.066	0.11127	-0.131	0.947	0.005	0.966	0.006	-0.589	0.346	-1.752
-12.0	-0.036	0.10654	-0.134	0.945	0.005	0.965	0.006	-0.339	0.340	-3.452
-11.5	-0.005	0.09544	-0.137	0.936	0.005	0.967	0.006	-0.053	0.236	-26.803
-11.0	-0.442	0.08779	-0.139	0.927	0.005	0.968	0.006	-5.039	0.236	-0.065
-10.5	-0.388	0.08104	-0.142	0.899	0.005	0.973	0.006	-4.782	0.299	-0.117
-10.0	-0.330	0.07362	-0.145	0.877	0.005	0.976	0.006	-4.485	0.298	-0.189
-9.5	-0.271	0.06816	-0.148	0.854	0.005	0.978	0.006	-3.978	0.297	-0.295
-9.0	-0.210	0.06389	-0.150	0.834	0.005	0.979	0.006	-3.294	0.296	-0.465
-8.5	-0.149	0.05765	-0.153	0.816	0.005	0.980	0.006	-2.577	0.295	-0.781
-8.0	-0.086	0.05375	-0.156	0.800	0.005	0.981	0.006	-1.596	0.295	-1.570
-7.5	-0.022	0.04956	-0.159	0.787	0.005	0.981	0.006	-0.449	0.294	-6.882
-7.0	0.042	0.04547	-0.162	0.776	0.005	0.981	0.006	0.915	0.294	4.138
-6.5	0.106	0.04158	-0.165	0.766	0.006	0.981	0.007	2.539	0.294	1.808
-6.0	0.169	0.03873	-0.167	0.757	0.006	0.980	0.007	4.376	0.295	1.238
-5.5	0.233	0.03547	-0.170	0.749	0.006	0.980	0.007	6.570	0.295	0.981
-5.0	0.296	0.03271	-0.173	0.741	0.006	0.979	0.007	9.053	0.296	0.835
-4.5	0.358	0.03027	-0.176	0.734	0.006	0.978	0.008	11.841	0.296	0.741
-4.0	0.420	0.02809	-0.179	0.728	0.006	0.977	0.008	14.950	0.297	0.676
-3.5	0.481	0.02568	-0.182	0.722	0.007	0.976	0.008	18.715	0.298	0.628
-3.0	0.540	0.02371	-0.185	0.716	0.007	0.975	0.009	22.783	0.299	0.592
-2.5	0.599	0.02189	-0.188	0.711	0.008	0.974	0.010	27.343	0.406	0.563
-2.0	0.634	0.01859	-0.199	0.703	0.010	0.973	0.999	34.101	0.380	0.564
-1.5	0.694	0.01873	-0.200	0.693	0.046	0.973	0.999	37.058	0.262	0.538
-1.0	0.753	0.01638	-0.201	0.683	0.523	0.972	0.999	45.998	0.262	0.516
-0.5	0.813	0.01661	-0.201	0.674	0.544	0.970	0.999	48.931	0.266	0.498
0.0	0.845	0.01685	-0.202	0.659	0.562	0.970	0.999	50.182	0.268	0.489
0.5	0.903	0.01702	-0.203	0.645	0.589	0.969	0.999	53.070	0.266	0.475
1.0	0.961	0.01678	-0.204	0.631	0.687	0.968	0.999	57.254	0.267	0.462
1.5	1.018	0.01638	-0.205	0.617	0.808	0.968	0.999	62.169	0.267	0.451
2.0	1.075	0.01600	-0.206	0.602	0.934	0.967	0.999	67.216	0.267	0.442
2.5	1.133	0.01610	-0.207	0.576	0.995	0.967	0.997	70.381	0.267	0.433
3.0	1.190	0.01669	-0.208	0.552	0.995	0.967	0.998	71.320	0.267	0.425
3.5	1.247	0.01731	-0.209	0.529	0.996	0.966	0.998	72.037	0.268	0.418
4.0	1.303	0.01796	-0.210	0.501	0.997	0.966	0.998	72.557	0.267	0.411
4.5	1.360	0.01888	-0.211	0.456	0.997	0.966	0.999	72.017	0.268	0.405
5.0	1.415	0.01986	-0.212	0.421	0.997	0.965	0.999	71.224	0.268	0.400
5.5	1.470	0.02134	-0.213	0.349	0.998	0.965	0.999	68.856	0.270	0.395
6.0	1.522	0.02384	-0.214	0.226	0.998	0.963	0.999	63.848	0.272	0.391
6.5	1.574	0.02702	-0.215	0.097	0.998	0.961	0.999	58.239	0.278	0.387
7.0	1.619	0.02866	-0.217	0.067	0.999	0.954	0.999	56.507	0.286	0.384
7.5	1.663	0.03013	-0.218	0.053	0.999	0.947	0.999	55.194	0.297	0.381
8.0	1.702	0.03203	-0.221	0.031	0.999	0.936	0.999	53.122	0.315	0.380
8.5	1.735	0.03365	-0.223	0.027	0.999	0.922	0.999	51.554	0.343	0.379
9.0	1.762	0.03544	-0.226	0.024	0.999	0.904	0.999	49.727	0.381	0.378
9.5	1.786	0.03752	-0.230	0.020	0.998	0.884	0.998	47.585	0.440	0.379
10.0	1.802	0.03991	-0.234	0.016	0.998	0.859	0.998	45.166	0.616	0.380
10.5	1.811	0.04289	-0.239	0.011	0.998	0.827	0.998	42.216	-2.285	0.382
11.0	1.798	0.04689	-0.246	0.010	0.998	0.775	0.999	38.335	0.059	0.387
11.5	1.673	0.05938	-0.265	0.008	0.998	0.575	0.999	28.182	0.131	0.408
12.0	1.546	0.08481	-0.276	0.006	0.999	0.093	0.999	18.226	0.117	0.429
12.5	1.579	0.08884	-0.277	0.005	0.999	0.049	0.999	17.775	0.316	0.426
13.0	1.598	0.09330	-0.280	0.004	0.998	0.030	0.999	17.127	0.420	0.425
13.5	1.606	0.09787	-0.282	0.004	0.999	0.022	0.999	16.412	0.608	0.426
14.0	1.612	0.10276	-0.285	0.003	0.999	0.014	0.999	15.685	6.673	0.427
14.5	1.607	0.10953	-0.287	0.003	0.998	0.011	0.999	14.672	-0.109	0.429
15.0	1.597	0.11535	-0.290	0.003	0.999	0.009	0.999	13.841	-0.015	0.432

