?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-15.0	-0.432	0.14060	-0.045	0.888	0.002	0.951	0.004	-3.069	0.429	0.146
-14.5	-0.417	0.12840	-0.047	0.879	0.002	0.953	0.004	-3.250	0.418	0.136
-14.0	-0.401	0.11792	-0.050	0.872	0.002	0.954	0.003	-3.401	0.398	0.125
-13.5	-0.383	0.10689	-0.053	0.864	0.002	0.955	0.003	-3.581	0.383	0.113
-13.0	-0.362	0.09678	-0.055	0.857	0.002	0.956	0.003	-3.746	0.370	0.098
-12.5	-0.340	0.09055	-0.058	0.848	0.002	0.958	0.003	-3.752	0.360	0.080
-12.0	-0.316	0.08258	-0.060	0.836	0.002	0.961	0.003	-3.820	0.353	0.059
-11.5	-0.289	0.07666	-0.063	0.827	0.002	0.963	0.003	-3.771	0.346	0.032
-11.0	-0.261	0.06967	-0.066	0.820	0.002	0.963	0.003	-3.744	0.341	-0.001
-10.5	-0.231	0.06471	-0.068	0.814	0.002	0.963	0.003	-3.569	0.336	-0.045
-10.0	-0.200	0.06003	-0.071	0.808	0.002	0.964	0.003	-3.323	0.333	-0.105
-9.5	-0.167	0.05476	-0.074	0.799	0.002	0.964	0.003	-3.043	0.330	-0.191
-9.0	-0.132	0.05156	-0.076	0.789	0.002	0.965	0.003	-2.570	0.327	-0.325
-8.5	-0.097	0.04720	-0.079	0.780	0.002	0.966	0.003	-2.056	0.324	-0.563
-8.0	-0.060	0.04346	-0.082	0.773	0.002	0.967	0.003	-1.384	0.322	-1.106
-7.5	-0.022	0.04061	-0.084	0.767	0.003	0.967	0.004	-0.551	0.228	-3.517
-7.0	-0.309	0.03780	-0.087	0.761	0.003	0.967	0.004	-8.172	0.225	-0.032
-6.5	-0.244	0.03502	-0.090	0.755	0.003	0.966	0.004	-6.959	0.291	-0.118
-6.0	-0.178	0.03278	-0.092	0.747	0.003	0.967	0.007	-5.441	0.353	-0.268
-5.5	-0.081	0.01623	-0.106	0.732	0.004	0.969	0.792	-5.011	0.420	-1.058
-5.0	-0.045	0.01565	-0.115	0.719	0.031	0.970	0.924	-2.844	0.377	-2.336
-4.5	0.015	0.01524	-0.119	0.709	0.033	0.970	0.968	0.972	0.291	8.261
-4.0	0.074	0.01487	-0.120	0.701	0.034	0.971	0.981	5.008	0.269	1.861
-3.5	0.134	0.01459	-0.121	0.692	0.037	0.970	0.985	9.212	0.264	1.150
-3.0	0.194	0.01436	-0.122	0.660	0.066	0.975	0.987	13.530	0.262	0.876
-2.5	0.254	0.01339	-0.122	0.648	0.296	0.976	0.988	18.999	0.262	0.731
-2.0	0.314	0.01353	-0.123	0.637	0.303	0.976	0.991	23.233	0.262	0.642
-1.5	0.374	0.01407	-0.124	0.590	0.343	0.981	0.991	26.603	0.262	0.581
-1.0	0.434	0.01525	-0.125	0.528	0.349	0.984	0.993	28.470	0.262	0.537
-0.5	0.494	0.01608	-0.125	0.518	0.355	0.985	0.995	30.719	0.262	0.503
0.0	0.547	0.01701	-0.126	0.507	0.361	0.985	0.997	32.153	0.262	0.480
0.5	0.608	0.01821	-0.127	0.459	0.368	0.988	0.999	33.372	0.261	0.458
1.0	0.669	0.01809	-0.127	0.451	0.388	0.991	1.000	36.956	0.261	0.440
1.5	0.730	0.01656	-0.128	0.442	0.406	0.995	1.000	44.109	0.259	0.425
2.0	0.793	0.01671	-0.128	0.398	0.412	1.000	1.000	47.450	0.260	0.412
2.5	0.853	0.01337	-0.129	0.389	0.419	1.000	1.000	63.793	0.261	0.401
3.0	0.912	0.01074	-0.130	0.339	0.426	1.000	1.000	84.910	0.261	0.392
3.5	0.972	0.00882	-0.130	0.330	0.434	1.000	1.000	110.141	0.261	0.384
4.0	1.031	0.00846	-0.131	0.083	0.477	1.000	1.000	121.926	0.261	0.377
4.5	1.090	0.00770	-0.132	0.082	0.486	1.000	1.000	141.560	0.261	0.371
5.0	1.149	0.00675	-0.132	0.080	0.495	1.000	1.000	170.361	0.285	0.365
5.5	1.187	0.02497	-0.135	0.049	0.537	0.971	1.000	47.548	0.326	0.364
6.0	1.224	0.02579	-0.138	0.047	0.547	0.943	1.000	47.483	0.317	0.363
6.5	1.268	0.02671	-0.141	0.046	0.557	0.925	1.000	47.459	0.307	0.361
7.0	1.311	0.02782	-0.143	0.044	0.600	0.908	1.000	47.140	0.312	0.359
7.5	1.353	0.02892	-0.146	0.042	0.617	0.890	1.000	46.775	0.330	0.358
8.0	1.389	0.03018	-0.149	0.041	1.000	0.866	1.000	46.014	0.352	0.357
8.5	1.422	0.03147	-0.153	0.026	1.000	0.842	1.000	45.200	0.369	0.357
9.0	1.453	0.03256	-0.157	0.022	1.000	0.815	1.000	44.638	0.409	0.358
9.5	1.476	0.03350	-0.161	0.018	1.000	0.784	1.000	44.063	0.513	0.359
10.0	1.491	0.03627	-0.167	0.016	1.000	0.746	1.000	41.106	-17.724	0.362
10.5	1.475	0.04120	-0.175	0.015	1.000	0.672	1.000	35.812	0.061	0.369
11.0	1.366	0.05512	-0.190	0.014	1.000	0.455	1.000	24.785	-4.121	0.389
11.5	1.472	0.05205	-0.188	0.004	1.000	0.564	1.000	28.290	0.328	0.377
12.0	1.437	0.06124	-0.196	0.001	1.000	0.462	1.000	23.467	0.072	0.386
12.5	1.385	0.07456	-0.203	0.001	1.000	0.315	1.000	18.577	0.135	0.397
13.0	1.359	0.08871	-0.205	0.001	1.000	0.120	1.000	15.318	0.629	0.401
13.5	1.390	0.09370	-0.205	0.001	1.000	0.050	1.000	14.836	0.258	0.398
14.0	1.454	0.09009	-0.205	0.001	1.000	0.004	1.000	16.138	0.292	0.391
14.5	1.466	0.09531	-0.208	0.001	1.000	0.003	1.000	15.383	0.489	0.392
15.0	1.477	0.10073	-0.211	0.001	1.000	0.002	1.000	14.662	0.502	0.393

